127.0.0.1 - - [29/Sep/2022:19:31:56 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [29/Sep/2022:19:32:03 +0530] "GET /JSP_CON/update.jsp HTTP/1.1" 500 2501
0:0:0:0:0:0:0:1 - - [29/Sep/2022:19:32:03 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [29/Sep/2022:19:32:18 +0530] "GET /JSP_CON/index.jsp HTTP/1.1" 200 775
0:0:0:0:0:0:0:1 - - [29/Sep/2022:19:32:41 +0530] "POST /JSP_CON/SaveRegistration.jsp HTTP/1.1" 500 2506
0:0:0:0:0:0:0:1 - - [29/Sep/2022:19:34:44 +0530] "GET /JSP_CON/index.jsp HTTP/1.1" 200 775
0:0:0:0:0:0:0:1 - - [29/Sep/2022:19:34:54 +0530] "GET /JSP_CON/RegDetail.jsp HTTP/1.1" 200 250
0:0:0:0:0:0:0:1 - - [29/Sep/2022:19:35:03 +0530] "POST /JSP_CON/SaveRegistration.jsp HTTP/1.1" 500 2506
0:0:0:0:0:0:0:1 - - [29/Sep/2022:19:39:24 +0530] "GET /JSP_CON/update.jsp HTTP/1.1" 500 2501
0:0:0:0:0:0:0:1 - - [29/Sep/2022:19:41:57 +0530] "GET /JSP_CON/index.jsp HTTP/1.1" 200 775
0:0:0:0:0:0:0:1 - - [29/Sep/2022:19:42:23 +0530] "POST /JSP_CON/SaveRegistration.jsp HTTP/1.1" 500 2508
0:0:0:0:0:0:0:1 - - [29/Sep/2022:19:45:13 +0530] "GET /JSP_CON/index.jsp HTTP/1.1" 200 775
0:0:0:0:0:0:0:1 - - [29/Sep/2022:19:45:20 +0530] "GET /JSP_CON/RegDetail.jsp HTTP/1.1" 200 250
0:0:0:0:0:0:0:1 - - [29/Sep/2022:19:45:41 +0530] "POST /JSP_CON/SaveRegistration.jsp HTTP/1.1" 500 2508
0:0:0:0:0:0:0:1 - - [29/Sep/2022:19:51:18 +0530] "GET /JSP_CON/index.jsp HTTP/1.1" 200 775
0:0:0:0:0:0:0:1 - - [29/Sep/2022:19:51:22 +0530] "GET /JSP_CON/RegDetail.jsp HTTP/1.1" 200 250
0:0:0:0:0:0:0:1 - - [29/Sep/2022:19:51:26 +0530] "GET /JSP_CON/index.jsp HTTP/1.1" 200 775
0:0:0:0:0:0:0:1 - - [29/Sep/2022:19:51:30 +0530] "GET /JSP_CON/RegDetail.jsp HTTP/1.1" 200 250
0:0:0:0:0:0:0:1 - - [29/Sep/2022:19:52:05 +0530] "POST /JSP_CON/SaveRegistration.jsp HTTP/1.1" 500 2508
0:0:0:0:0:0:0:1 - - [29/Sep/2022:19:54:45 +0530] "GET /JSP_CON/Connection.jsp HTTP/1.1" 200 6
0:0:0:0:0:0:0:1 - - [29/Sep/2022:19:54:53 +0530] "GET /JSP_CON/Connection.jsp HTTP/1.1" 200 6
0:0:0:0:0:0:0:1 - - [29/Sep/2022:19:54:54 +0530] "GET /JSP_CON/Connection.jsp HTTP/1.1" 200 6
0:0:0:0:0:0:0:1 - - [29/Sep/2022:19:54:56 +0530] "GET /JSP_CON/Connection.jsp HTTP/1.1" 200 6
0:0:0:0:0:0:0:1 - - [29/Sep/2022:19:55:21 +0530] "GET /JSP_CON/Connection.jsp HTTP/1.1" 200 6
0:0:0:0:0:0:0:1 - - [29/Sep/2022:20:07:23 +0530] "GET /JSP_CON/delete.jsp HTTP/1.1" 500 2408
0:0:0:0:0:0:0:1 - - [29/Sep/2022:20:07:42 +0530] "GET /JSP_CON/index.jsp HTTP/1.1" 200 775
0:0:0:0:0:0:0:1 - - [29/Sep/2022:20:07:54 +0530] "POST /JSP_CON/SaveRegistration.jsp HTTP/1.1" 500 2508
0:0:0:0:0:0:0:1 - - [29/Sep/2022:20:10:55 +0530] "GET /JSP_CON/update.jsp HTTP/1.1" 500 2501
0:0:0:0:0:0:0:1 - - [29/Sep/2022:20:12:26 +0530] "GET /JSP_CON/index.jsp HTTP/1.1" 200 775
0:0:0:0:0:0:0:1 - - [29/Sep/2022:20:12:26 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [29/Sep/2022:20:15:12 +0530] "GET /JSP_CON/index.jsp HTTP/1.1" 200 768
0:0:0:0:0:0:0:1 - - [29/Sep/2022:20:15:20 +0530] "POST /JSP_CON/RegDetail.jsp HTTP/1.1" 200 250
0:0:0:0:0:0:0:1 - - [29/Sep/2022:20:15:27 +0530] "GET /JSP_CON/index.jsp HTTP/1.1" 200 768
0:0:0:0:0:0:0:1 - - [29/Sep/2022:20:15:29 +0530] "GET /JSP_CON/RegDetail.jsp HTTP/1.1" 200 250
0:0:0:0:0:0:0:1 - - [29/Sep/2022:20:15:31 +0530] "GET /JSP_CON/index.jsp HTTP/1.1" 200 768
0:0:0:0:0:0:0:1 - - [29/Sep/2022:20:15:41 +0530] "POST /JSP_CON/RegDetail.jsp HTTP/1.1" 200 250
0:0:0:0:0:0:0:1 - - [29/Sep/2022:20:34:41 +0530] "GET /JSP_CON/index.jsp HTTP/1.1" 200 832
0:0:0:0:0:0:0:1 - - [29/Sep/2022:20:34:50 +0530] "POST /JSP_CON/SaveRegistration.jsp HTTP/1.1" 500 2514
